dateTime,date,measure,station,label,stationReference,parameter,qualifier,datumType,period,unitName,valueType,value
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/2607TH-level-downstage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2607TH,Bray Lock,2607TH,level,Downstream Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,3.734
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/1503TH-level-downstage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/1503TH,Abingdon Lock,1503TH,level,Downstream Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,3.083
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/1302TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/1302TH,Godstow Lock,1302TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,-0.156
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/2702TH-level-downstage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2702TH,Bell Weir,2702TH,level,Downstream Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,3.577
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/1801TH-level-downstage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/1801TH,Clifton Lock,1801TH,level,Downstream Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,3.302
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/1201TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/1201TH,Eynsham Lock,1201TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,0.596
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/2901TH-level-downstage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2901TH,Penton Hook,2901TH,level,Downstream Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,3.738
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/2003TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2003TH,Goring Lock,2003TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,0.278
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/2201TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2201TH,Caversham Lock,2201TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,0.225
2024-01-02T00:00:00Z,2024-01-02,http://environment.data.gov.uk/flood-monitoring/id/measures/2901TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2901TH,Penton Hook,2901TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900.0,mASD,instantaneous,0.203
